Indices Name,Filename,Methodology,No. of Constituents,Launch Date,Base Date,Base Value,Calculation Frequency,Index Rebalancing,Price Returns QTD,Price Returns YTD,Price Returns 1 year,Price Returns 5 years,Price Returns Since Inception,Total Returns QTD,Total Returns YTD,Total Returns 1 year,Total Returns 5 years,Total Returns Since Inception,Standard Deviation 1 year,Standard Deviation 5 year,Standard Deviation Since Inception,Beta (Nifty 50) 1 year,Beta (Nifty 50) 5 years,Beta (Nifty 50) Since Inception,P/E,P/B,Dividend Yield
Nifty200 Alpha 30,Factsheet_Nifty200Alpha30.pdf,Alpha based weighting,30,"July 21, 2022","April 01, 2005",1000,Real-Time,Quarterly,3.81,-5.33,-5.33,21.12,16.76,3.83,-4.75,-4.75,22.22,18.05,19.66,20.89,24.28,1.32,1.17,1.01,29.22,4.67,0.68
Nifty200 Momentum 30,Factsheet_Nifty200_Momentum30.pdf,Tilt Weighted,30,"August 25, 2020","April 01, 2005",1000,Real-Time,Semi-annual,4.37,-5.11,-5.11,17.93,18.01,4.38,-4.57,-4.57,19.00,19.29,17.22,19.12,22.37,1.25,1.13,0.95,26.59,4.59,0.82
Nifty200 Value 30,Factsheet_Nifty200_Value30.pdf,Tilt Weighted,30,"June 12, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,10.73,18.47,18.47,31.91,13.82,11.02,20.30,20.30,34.81,16.91,18.27,20.78,26.22,1.19,1.12,1.02,9.63,1.49,2.96
Nifty500 Low Volatility 50,Factsheet_Nifty500LowVolatility50.pdf,Periodic Capped Free Float,50,"December 20, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,4.81,15.19,15.19,17.01,16.31,4.89,16.08,16.08,18.44,18.07,12.02,12.20,16.14,0.91,0.76,0.71,25.07,4.63,1.76
Nifty500 Multicap Momentum Quality 50,Factsheet_Nifty500MulticapMQ50.pdf,Tilt Weighted,50,"September 04, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,1.76,-8.72,-8.72,18.45,19.61,1.84,-7.79,-7.79,19.68,21.10,17.98,17.38,19.03,1.21,0.96,0.76,34.71,7.97,1.03
Nifty500 Quality 50,Factsheet_Nifty500Quality50.pdf,Tilt Weighted,50,"December 20, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,0.85,-3.74,-3.74,14.98,15.19,1.02,-2.56,-2.56,16.58,17.13,17.86,15.37,18.19,1.19,0.86,0.78,30.97,10.14,1.63
Nifty500 Flexicap Quality 30,Factsheet_Nifty500_Flexicap_Quality_30.pdf,Equal-Weighted,31,"April 04, 2025","October 01, 2009",1000,Real-Time,Semi - Annually,4.17,-9.74,-9.74,15.84,15.64,4.46,-8.30,-8.30,17.44,17.35,14.81,14.82,15.70,1.07,0.89,0.83,33.07,7.19,1.88
Nifty500 Multicap 50:25:25,Factsheet_Nifty500_Multicap_50_25_25_index.pdf,Periodic capped free-float,501,"December 02, 2020","April 01, 2005",1000,Real-Time,Semi - Annually,4.22,4.38,4.38,18.33,14.45,4.34,5.29,5.29,19.43,15.93,14.40,14.90,19.88,1.10,0.97,0.89,26.05,3.76,1.03
Nifty India Defence,Factsheet_NiftyIndiaDefence.pdf,Periodic Capped Free Float,18,"January 19, 2022","April 02, 2018",1000,Real-Time,Semi - Annually,-1.31,19.30,19.30,55.57,30.22,-1.28,19.98,19.98,57.31,31.88,29.06,26.90,26.67,1.23,1.00,0.84,51.77,10.34,0.53
Nifty Midcap150 Momentum 50,Factsheet_NiftyMidcap150Momentum50.pdf,Tilt Weighted,50,"August 16, 2022","April 01, 2005",1000,Real-Time,Semi - Annually,5.46,-3.85,-3.85,27.58,21.98,5.50,-3.46,-3.46,28.35,23.19,19.60,18.74,21.15,1.30,1.01,0.81,34.07,5.03,0.78
Nifty MidSmallcap400 Momentum Quality 100,Factsheet_NiftyMidsmallcap400MomentumQuality100.pdf,Tilt Weighted,100,"February 08, 2024","April 01, 2005",1000,Real-Time,Semi - Annually,1.84,-7.43,-7.43,20.14,20.44,1.94,-6.80,-6.80,21.22,21.96,19.37,17.80,20.09,1.25,0.96,0.78,29.42,6.11,0.96
Nifty Smallcap250 Momentum Quality 100,Factsheet_NiftySmallcap250MomentumQuality100.pdf,Tilt Weighted,100,"December 21, 2023","April 01, 2005",1000,Real-Time,Semi - Annually,-1.08,-12.25,-12.25,20.14,19.99,-0.95,-11.56,-11.56,21.20,21.68,20.34,19.08,21.69,1.24,0.94,0.79,30.09,4.85,0.88
Nifty Smallcap250 Quality 50,Factsheet_NiftySmallcap250Quality50.pdf,Tilt Weighted,50,"March 15, 2023","April 01, 2005",1000,Real-Time,Semi - Annually,-1.14,-12.43,-12.43,22.04,16.89,-0.96,-11.48,-11.48,23.43,18.92,18.91,17.61,19.57,1.16,0.85,0.69,25.1,5.21,1.66
